Timestamp Username IP_Adress Downloaded_data Uploaded_data Billing_status
2024-08-01 10:15:30 alice 192.168.1.2 100 20 Unbilled
2024-08-01 10:17:45 bob 192.168.1.3 50 10 Billed
2024-08-01 11:00:00 alice 192.168.1.2 200 50 Unbilled
2024-08-01 12:30:15 charlie 192.168.1.4 150 25 Unbilled
2024-08-01 13:45:30 david 192.168.1.5 300 100 Billed
2024-08-01 14:50:10 eve 192.168.1.6 250 80 Unbilled
2024-08-01 15:10:25 bob 192.168.1.3 100 30 Unbilled
2024-08-01 10:34:30 david 192.168.1.2 57 11 Billed
2024-08-01 11:13:30 alice 192.168.1.3 361 72 Unbilled
2024-08-01 11:50:30 eve 192.168.1.6 178 35 Unbilled
2024-08-01 12:01:30 charlie 192.168.1.6 97 19 Unbilled
2024-08-01 12:47:30 bob 192.168.1.5 119 23 Billed
2024-08-01 13:07:30 eve 192.168.1.5 391 78 Unbilled
2024-08-01 14:05:30 charlie 192.168.1.2 370 74 Unbilled
2024-08-01 14:40:30 david 192.168.1.6 344 68 Billed
2024-08-01 15:09:30 eve 192.168.1.3 214 42 Billed
2024-08-01 15:23:30 charlie 192.168.1.4 207 41 Unbilled
2024-08-01 16:02:30 bob 192.168.1.6 191 38 Unbilled
2024-08-01 17:00:30 eve 192.168.1.3 340 68 Unbilled
2024-08-01 17:40:30 bob 192.168.1.4 443 88 Billed
2024-08-01 18:12:30 alice 192.168.1.4 351 70 Billed
2024-08-01 18:15:30 bob 192.168.1.6 207 41 Unbilled
2024-08-01 18:25:30 eve 192.168.1.5 286 57 Unbilled
2024-08-01 19:07:30 charlie 192.168.1.4 74 14 Billed
2024-08-01 19:21:30 alice 192.168.1.5 99 19 Unbilled
2024-08-01 20:13:30 eve 192.168.1.3 88 17 Billed
2024-08-01 20:14:30 eve 192.168.1.5 413 82 Billed
2024-08-01 20:27:30 bob 192.168.1.2 320 64 Unbilled
2024-08-01 21:10:30 charlie 192.168.1.2 183 36 Billed
2024-08-01 22:09:30 david 192.168.1.4 350 70 Unbilled
2024-08-01 23:05:30 charlie 192.168.1.5 299 59 Billed
2024-08-01 23:30:30 eve 192.168.1.3 249 49 Unbilled
2024-08-01 23:38:30 charlie 192.168.1.5 318 63 Unbilled
2024-08-01 23:46:30 alice 192.168.1.4 154 30 Billed
2024-08-02 00:27:30 charlie 192.168.1.2 205 41 Unbilled
2024-08-02 00:51:30 david 192.168.1.4 223 44 Unbilled
2024-08-02 01:07:30 david 192.168.1.3 193 38 Unbilled
2024-08-02 01:15:30 alice 192.168.1.6 53 10 Unbilled
2024-08-02 02:03:30 charlie 192.168.1.6 212 42 Unbilled
2024-08-02 02:21:30 eve 192.168.1.4 321 64 Unbilled
2024-08-02 03:05:30 bob 192.168.1.4 460 92 Unbilled
2024-08-02 03:15:30 alice 192.168.1.3 464 92 Billed
2024-08-02 04:06:30 bob 192.168.1.5 418 83 Unbilled
2024-08-02 04:41:30 david 192.168.1.3 120 24 Billed
2024-08-02 04:57:30 bob 192.168.1.6 476 95 Billed
2024-08-02 05:27:30 david 192.168.1.3 379 75 Billed
2024-08-02 06:25:30 eve 192.168.1.4 135 27 Unbilled
2024-08-02 07:03:30 alice 192.168.1.6 417 83 Billed
2024-08-02 07:47:30 alice 192.168.1.6 169 33 Unbilled
2024-08-02 08:19:30 david 192.168.1.6 312 62 Billed
2024-08-02 09:05:30 david 192.168.1.3 307 61 Billed
2024-08-02 09:37:30 alice 192.168.1.5 144 28 Unbilled
2024-08-02 10:16:30 david 192.168.1.3 444 88 Unbilled
2024-08-02 10:55:30 bob 192.168.1.4 322 64 Unbilled
2024-08-02 11:51:30 eve 192.168.1.3 128 25 Unbilled
2024-08-02 12:14:30 bob 192.168.1.4 415 83 Billed
2024-08-02 12:46:30 bob 192.168.1.4 486 97 Billed
2024-08-02 12:53:30 david 192.168.1.4 138 27 Billed
2024-08-02 12:57:30 david 192.168.1.4 233 46 Billed
2024-08-02 13:39:30 alice 192.168.1.5 353 70 Billed
2024-08-02 14:15:30 charlie 192.168.1.6 243 48 Billed
2024-08-02 15:14:30 bob 192.168.1.3 317 63 Unbilled
2024-08-02 15:45:30 david 192.168.1.6 467 93 Billed
2024-08-02 15:57:30 david 192.168.1.5 185 37 Billed
2024-08-02 16:21:30 alice 192.168.1.6 242 48 Unbilled
2024-08-02 16:29:30 david 192.168.1.2 228 45 Billed
2024-08-02 16:32:30 eve 192.168.1.6 325 65 Unbilled
2024-08-02 17:27:30 charlie 192.168.1.2 371 74 Unbilled
2024-08-02 18:07:30 david 192.168.1.3 342 68 Billed
2024-08-02 18:15:30 alice 192.168.1.6 474 94 Unbilled
2024-08-02 18:54:30 david 192.168.1.3 374 74 Unbilled
2024-08-02 19:33:30 david 192.168.1.5 458 91 Billed
2024-08-02 20:31:30 bob 192.168.1.6 125 25 Unbilled
2024-08-02 21:14:30 eve 192.168.1.5 274 54 Unbilled
2024-08-02 21:55:30 bob 192.168.1.5 468 93 Billed
2024-08-02 22:52:30 bob 192.168.1.6 154 30 Unbilled
2024-08-02 23:04:30 bob 192.168.1.6 201 40 Unbilled
2024-08-02 23:21:30 charlie 192.168.1.2 56 11 Unbilled
2024-08-02 23:59:30 david 192.168.1.6 277 55 Unbilled
2024-08-03 00:52:30 eve 192.168.1.2 117 23 Billed
2024-08-03 00:56:30 eve 192.168.1.5 51 10 Unbilled
2024-08-03 01:00:30 alice 192.168.1.2 256 51 Billed
2024-08-03 01:08:30 bob 192.168.1.4 270 54 Unbilled
2024-08-03 01:58:30 alice 192.168.1.4 381 76 Billed
2024-08-03 02:43:30 bob 192.168.1.3 487 97 Billed
2024-08-03 02:58:30 bob 192.168.1.6 481 96 Unbilled
2024-08-03 03:32:30 bob 192.168.1.4 475 95 Unbilled
2024-08-03 04:27:30 alice 192.168.1.3 111 22 Billed
2024-08-03 04:29:30 david 192.168.1.3 213 42 Billed
2024-08-03 05:13:30 charlie 192.168.1.5 213 42 Billed
2024-08-03 05:45:30 eve 192.168.1.3 146 29 Billed
2024-08-03 06:43:30 david 192.168.1.3 167 33 Billed
2024-08-03 07:29:30 bob 192.168.1.6 240 48 Unbilled
2024-08-03 07:37:30 bob 192.168.1.4 67 13 Billed
2024-08-03 07:39:30 eve 192.168.1.4 231 46 Unbilled
2024-08-03 07:42:30 david 192.168.1.3 444 88 Billed
2024-08-03 07:51:30 david 192.168.1.5 485 97 Unbilled
